Key,Description,Standard,Chinese,Japanese,TraditionalChinese,French,Korean,Basque,Italian,Spanish,Deutsch,Russian,Turkish,Brazilian,Polish
SAY.HubScene.MidnightTownDoorFlowChart.176.Midnight Town Door,,"Hey{w=0.8}, you fine piece of craftmanship.","嘿{w=0.8}, 精致的小木偶",やあ{w=0.8}、工芸品。,"嘿{w=0.8},精緻的小木偶","Hé, toi{w=0.8}, le chef-d'œuvre de la menuiserie.","이봐{w=0.8}, 걸작품.","Aizu{w=0.8}, eskulan aparta hori.","Ehi{w=0.8}, gran pezzo d'artigianato.","Eh{w=0.8}, obra de arte.","Hey{w=0.8}, du schönes Stück Handwerkskunst.","Хей{w=0.8}, резной красавчик.","Hey{w=0.8}, seni cilalı, servi boylu odun.","Ei{w=0.8}, seu pedacinho de belezura.","Hej{w=0.8}, niezła z ciebie lalka."
SAY.HubScene.MidnightTownDoorFlowChart.48.Midnight Town Door,,Wanna swing by Midnight Town?,想在午夜小镇嗨起来吗?,ミッドナイトタウンに寄ってくかい？,想在午夜小鎮嗨起來嗎?,Tu veux faire un tour au Village de Minuit ?,심야의 마을에 들를래?,Gauerdi Plazatik igaro nahi?,Facciamo un giro alla città di Mezzanotte?,¿Te apetece pasar por Villa Medianoche?,Willst du einen Abstecher nach Mitternacht-Stadt machen?,Хочешь заскочить в Полуночный город?,Geceyarısı Kasabası'na uğramaya ne dersin?,Quer dar uma volta pela Cidade Meia-Noite?,Chcesz zachaczyć o Miasto Północy?
SAY.HubScene.MidnightTownDoorFlowChart.49.Midnight Town Door,,The nicest place around.,这是这周围最好的地方,ここいらでは一番素敵な場所さ。,這是這周圍最好的地方,Le meilleur endroit du coin.,이 근처에선 가장 멋진 장소라고.,Hemengo lekurik galantena.,Ne vedrai di crude e di cotte.,El mejor sitio que hay por aquí.,Der netteste Ort in der Gegend.,Лучше места здесь не найти.,Görebileceğin en keyifli ortam.,O melhor lugar por perto.,Najprzyjemniejsze miejsce w okolicy.
SAY.HubScene.MidnightTownDoorFlowChart.137.Empty,,What do you want to do?,你想让我做什么?,どうする？,你想讓我做什麼?,Que souhaitez-vous faire ?,무엇을 하시겠습니까?,Zer egin nahi duzu?,Cosa vuoi fare?,¿Qué quieres hacer?,Was möchtest du tun?,Что вы хотите сделать?,Ne yapmak istersin?,O que você quer fazer?,Co chcesz zrobić?
MENU.HubScene.MidnightTownDoorFlowChart.135,,Interact,互动,会話,互動,Interagir,상호작용,Arakatu,Parla,<size=16>Interactuar,Interagieren,Действие,Etkileşim,Interagir,Interakcja
MENU.HubScene.MidnightTownDoorFlowChart.136,,Kill,杀戮,殺す,殺戮,Tuer,죽인다,Hil,Uccidi,Matar,Töten,Убить,Öldür,Matar,Zabij
SAY.HubScene.MidnightTownDoorFlowChart.121.Midnight Town Door,,"It's been awesome{w=0.5}, buddy.","棒极了{w=0.5},哥们",最高の時間だったよ{w=0.5}、友よ。,"棒極了{w=0.5},哥們","C'était génial{w=0.5}, mon pote.","정말 멋졌어{w=0.5}, 친구.","Aparta izan da{w=0.5}, adiskide.","È stato fantastico{w=0.5}, fratello.","Esto ha sido increíble{w=0.5}, colega.","Es war fantastisch{w=0.5}, Kumpel.","Было классно{w=0.5}, дружище.","Harikaydı{w=0.5}, ahbap.","Tem sido incrível{w=0.5}, maninho.","Było niesamowicie{w=0.5}, brachu."
SAY.HubScene.MidnightTownDoorFlowChart.126.Midnight Town Door,,It has been quite an experience.,这是一此很特别的体验,すごい経験だった。,這是一此很特別的體驗,Une sacrée expérience.,꽤 좋은 경험이었다구.,Ahaztezina benetan.,È stato bello come un sogno.,Toda una experiencia.,Es war eine ganz schöne Erfahrung.,Это было незабываемо.,Ne deneyimdi ama.,Tem sido uma experiência e tanto.,To było niezłe przeżycie.
SAY.HubScene.MidnightTownDoorFlowChart.138.Midnight Town Door,,Now it’s time to wake up.,现在该起床了,さあ、もう目を覚ます時間だ。,現在該起床了,"Maintenant, il est temps d'ouvrir les yeux.",이제 일어날 시간이야.,"Orain, esnatzeko denbora heldu da.",Ma è ora di svegliarsi.,Ahora toca despertar.,"Jetzt ist es Zeit, aufzuwachen.",Теперь пора проснуться.,Şimdi uyanma zamanı.,Agora é hora de acordar.,"Teraz jest czas, żeby stanąć."
MENU.TunnelEntrance.TunnelCart FlowChart.100,,Yes,是,はい,是,Oui,예,Bai,Sì,Sí,Ja,Да,Evet,Sim,Tak
MENU.TunnelEntrance.TunnelCart FlowChart.101,,No,否,いいえ,否,Non,아니오,Ez,No,No,Nein,Нет,Hayır,Não,Nie
SAY.TunnelEntrance.TunnelCart FlowChart.110.Empty,,Do you want to ride the cart?,你要上车吗?,トロッコに乗りますか？,你要上車嗎?,Monter dans le véhicule ?,카트를 타시겠습니까?,Gurdian igo nahi al duzu?,Vuoi salire sul carrello?,¿Quieres montar en la vagoneta?,Möchtest du mit dem Wagen fahren?,Хотите прокатиться на вагонетке?,Maden vagonuna binmek ister misin?,Você quer pilotar o vagão?,Chciałbyś się przejechać wózkiem?
SAY.TunnelEntrance.TunnelCart FlowChart.172.Empty,,,,,,,,,,,,,,,
SAY.MushroomForestScene.WhiteRockMushroomMushroomForest  FlowChart.69.White Rock Mushroom,,Hi.,你好,やあ。,你好,Bonjour.,안녕.,Iep.,Salve.,Hola.,Hi.,Привет.,Selam.,Oi.,Hej.
SAY.MushroomForestScene.WhiteRockMushroomMushroomForest  FlowChart.70.White Rock Mushroom,,"I guess you, found me.",我猜你找到我了,私を、見つけたみたいだね。,我猜你找到我了,Il semblerait que tu m'aies trouvé.,네가 날 찾았구나.,"Badirudi, aurkitu nauzula.","Sembra che tu, mi abbia trovato.","Supongo que, me has encontrado.","Ich schätze du, hast mich gefunden.","Похоже ты, нашёл меня.",Sanırım beni buldun.,"Eu acho que você, me encontrou.","Wygląda na to, że mnie znalazłeś."
SAY.MushroomForestScene.WhiteRockMushroomMushroomForest  FlowChart.72.White Rock Mushroom,,You still have {$mushroomsLeft} to find.,你还需要找到{$mushroomsLeft}个蘑菇,残りのキノコはあと{$mushroomsLeft}体。,你還需要找到{$mushroomsLeft}個蘑菇,Tu dois encore trouver {$mushroomsLeft} d'entre nous.,앞으로 버섯 {$mushroomsLeft}개를 더 찾아야 해.,Oraindik falta zaizkizun onddoak: {$mushroomsLeft},Rimangono {$mushroomsLeft} funghi da trovare.,Te quedan {$mushroomsLeft} setas por encontrar.,Du musst noch {$mushroomsLeft} finden.,Тебе осталось найти ещё {$mushroomsLeft}.,Bulman gereken {$mushroomsLeft} mantar kaldı.,Você ainda tem {$mushroomsLeft} para encontrar.,Nadal masz {$mushroomsLeft} do znalezienia.
SAY.MushroomForestScene.WhiteRockMushroomMushroomForest  FlowChart.74.White Rock Mushroom,,Bye.,再见,さよなら。,再見,À bientôt.,안녕.,Aio.,Arrivederci.,Adiós.,Tschüss.,Пока.,Güle güle.,Até.,Na razie.
SAY.MushroomForestScene.WhiteRockMushroomMushroomForest  FlowChart.79.White Rock Mushroom,,"You found, us all.",你找到了我们所有人,私たち皆を、見つけたね。,你找到了我們所有人,Tu nous as tous trouvés.,우리 모두를 찾아냈구나.,"Gu denok, aurkitu gaituzu.","Ci hai, trovati.","Nos has, encontrado a todos.","Du hast, uns alle gefunden.","Ты нашёл, всех нас.",Hepimizi buldun.,"Você encontrou, todos nós.",Znalazłeś nas wszystkich.
SAY.MushroomForestScene.WhiteRockMushroomMushroomForest  FlowChart.80.White Rock Mushroom,,We will be waiting in the sacred gate far to the west.,我们将在最西边的神圣之门门口等你,西にある、聖なる門で君を待つよ。,我們將在最西邊的神聖之門門口等你,Nous attendrons au portail sacré à l'Ouest.,서쪽에 있는 신성한 문에서 기다릴게.,Mendebaldeko ate sakratuan itxarongo zaitugu.,Ti aspettiamo al cancello sacro a ovest.,Te estaremos esperando en la puerta sagrada hacia el oeste.,Wir warten beim heiligen Tor weit im Westen.,Мы будем ждать тебя у священных врат к западу отсюда.,En batıdaki kutsal geçitte seni bekliyor olacağız.,Nós estaremos te esperando no portão sagrado a oeste.,Będziemy czekać przy świętej bramie na zachodzie.
SAY.MushroomForestScene.BeigeDancingMushroomMushroomForest  FlowChart.69.Beige Dancing Mushroom,,Ohh heeello again~,"哦,又见面了",おおお、また会ったねー,"哦,又見面了","Ooh, bonjooour~","오오오, 또오오오 만났구나~",Kaaaixooo berrizzz~,Ohh ciaooo di nuovo~,Ohh hoooola de nuevoo~,Ohh haaallo nochmal~,Нуу привееетик снова~,Ahh tekrardan merhabaaa~,Ohh oláaaa de novo~,"Ooo, wiitaaj ponoownie~"
SAY.MushroomForestScene.BeigeDancingMushroomMushroomForest  FlowChart.70.Beige Dancing Mushroom,,I am sooo glad you found mee~,我很高兴你找到了我~,見つけてくれて嬉しいよー,我很高興你找到了我~,Je suis tellement content que tu m'aies trouvééé~,나아알 찾아주어서 저어엉말 기뻐~,Ze onddoo! Aurkittu nauzuuu~,Son felice che tu mi abbia trovatooo~,Me aleeegro taaanto de que me hayas encontradooo~,"Ich bin sooo froh, dass du mich gefunden haast~","Я таааак рад, что ты нашёл меняяя~",Beni bulmana çoook sevindiim~,Estou tão feliz que você me achooou~,"Jest mii miłło, że mniee znalaazłeeś~"
SAY.MushroomForestScene.BeigeDancingMushroomMushroomForest  FlowChart.72.Beige Dancing Mushroom,,You still have {$mushroomsLeft} to find~,你还需要找到{$mushroomsLeft}个蘑菇,残りのキノコはあと{$mushroomsLeft}体。,你還需要找到{$mushroomsLeft}個蘑菇,Tu dois encore en trouver {$mushroomsLeft}~,앞으로 버섯 {$mushroomsLeft}개를 더 찾아야 해~,Oraindik falta zaizkizun onddoak: {$mushroomsLeft}~,Devi trovare ancora {$mushroomsLeft} funghi~,Aún te queeedan {$mushroomsLeft} por encontraaar~,Du musst noch {$mushroomsLeft} finden~,Тебе надо найти ещёё {$mushroomsLeft}~,Bulman gereken {$mushroomsLeft} mantar kaldı~,Você ainda tem {$mushroomsLeft} para encontrar~,Nadal masz {$mushroomsLeft} do znalezienia~
SAY.MushroomForestScene.BeigeDancingMushroomMushroomForest  FlowChart.74.Beige Dancing Mushroom,,Farewell~,再见了~,じゃあねー,再見了~,Adieu~,잘 가~,Ondo izan~,Addio~,Adióós~,Leb wohl~,Прощааай~,Elveda~,Adeus~,Żeegnaaj~
SAY.MushroomForestScene.BeigeDancingMushroomMushroomForest  FlowChart.79.Beige Dancing Mushroom,,Hurraay~ you found all of us!,万岁~你找到我们所有人了!,やったー 全員見つけたね！,萬歲~你找到我們所有人了!,Ouiii~ tu nous as tous retrouvés !,우와아~ 우리 모두를 찾아냈구나!,Goraaa~ denok aurkittu gaittuzzzu!,Evvivaa~ ci hai trovati tutti!,Hurraaa~ ¡nos has encontrado a todooos!,Hurraaa~ du hast uns alle gefunden!,Урааа~ ты нашёл нас всех!,Hurraa~ hepimizi buldun!,Vivaaa~ você achou todos nós!,Jeej~ znalazłeś nas wszystkich!
SAY.MushroomForestScene.BeigeDancingMushroomMushroomForest  FlowChart.80.Beige Dancing Mushroom,,We will be waiting by the forest guardian far to the west~,我们将在西边的森林守护者那里等你,西にいる森の守護者のとこで待ってるよ,我們將在西邊的森林守護者那裏等你,Nous attendrons avec le gardien de la forêt à l'Ouest~,서쪽에 있는 숲의 수호자가 있는 곳에서 기다릴게~,Basoko espirituarekin batera itxarongo zaitugu mendebalderantz~,Ti aspetteremo vicino al guardiano del bosco a ovest~,Te estaremos esperando al lado del guardián al oesteee~,Wir warten beim Hüter des Waldes weit im Westen~,Мы будем ждать у стража леса к западу отсюдаа~,"En batıda, orman muhafızının yanında seni bekliyor olacağız",Nós estaremos esperando perto do guardião da floresta bem a oeste~,Będziemy czekać przy strażniku lasu na zachodzie~
SAY.MushroomForestScene.BigHatMushroomMushroomForest  FlowChart.69.Big Hat Mushroom,,"Hi there, fella!","嗨,伙计们!",やあ、あんたか！,"嗨,夥計們!","Bonjour, mon ami !",안녕 친구!,"Kaixo, adiskide!","Ehilà, compare!","¡Buenas, chaval!","Hallihallo, Gefährte!","Здорова, другалёк!",Selamlar delikanlı!,"E aí, cara!","Siema, kumplu!"
SAY.MushroomForestScene.BigHatMushroomMushroomForest  FlowChart.70.Big Hat Mushroom,,"It's hard hiding with such a big, fancy hat.",戴着这么大这么花哨的帽子真的很难躲藏,こんなにデカくて派手な帽子があると隠れるのが大変だ。,戴着這麼大這麼花哨的帽子真的很難躲藏,Il n'est pas évident de se cacher avec un si beau grand chapeau.,이런 커다랗고 화려한 모자로는 숨기 힘드네.,Nahiko zaila da halako txapel handi batekin ezkutatzea.,È difficile nascondersi quando hai un cappello così bello e grande.,Es difícil esconderse con este sombrero tan chulo.,"Es ist schwer, sich mit so einem großen, schicken Hut zu verstecken.",Сложновато прятаться с такой большой клёвой шляпой.,"Devasa, süslü bir şapkayla saklanmak zor işmiş.",É difícil de esconder com esse chapéu grande e charmoso.,"Trudno się schować, mając na głowie taki duży, ładny kapelusz."
SAY.MushroomForestScene.BigHatMushroomMushroomForest  FlowChart.72.Big Hat Mushroom,,You must find all mushrooms to prove yourself worthy!,你必须找到所有蘑菇来证明自己的价值!,あんたの価値を証明するには、すべてのキノコを見つけなきゃならないぜ！,你必須找到所有蘑菇來證明自己的價值!,Trouve-nous tous pour montrer ce que tu vaux !,네 가치를 증명하기 위해 모든 버섯을 찾아내야 해!,Basoko onddo guztiak aurkitu beharko dituzu pena merezi duzula erakusteko!,Devi trovare tutti noi funghi se vuoi dimostrare di essere degno!,¡Has de encontrar a todas las setas para demostrar tu valía!,"Du musst alle Pilze finden, um dich als würdig zu erweisen!","Найди всех нас и докажи, что ты достоин!",Liyakatini kanıtlamak için tüm mantarları bulmalısın!,Você deve encontrar todos os cogumelos para se provar digno!,"Musisz znaleźć wszystkie grzyby, aby dowieść swojej wartości!"
SAY.MushroomForestScene.BigHatMushroomMushroomForest  FlowChart.79.Big Hat Mushroom,,You found us all!,你找到了我们所有人!,全員見つけたな！,你找到了我們所有人!,"Tu nous as trouvés, tous !",전부 찾았어!,Gu denok aurkitu gaituzu!,Ci hai trovati tutti compare!,¡Nos has encontrado!,Du hast uns alle gefunden!,Ты нашёл нас всех!,Hepimizi buldun!,Você achou todos nós!,Znalazłeś nas wszystkich!
SAY.MushroomForestScene.BigHatMushroomMushroomForest  FlowChart.80.Big Hat Mushroom,,We will be waiting by the forest guardian far to the west.,我们将在西边的森林守护者那里等你,西にいる森の守護者のところで待ってるぜ。,我們將在西邊的森林守護者那裏等你,Nous patienterons près du gardien de la forêt à l'Ouest.,서쪽에 있는 숲의 수호자가 있는 곳에서 기다릴게.,Basoko espirituarekin batera itxarongo zaitugu mendebalderantz.,Ti aspetteremo vicino al guardiano del bosco a ovest.,Te estaremos esperando al lado del guardián al oeste.,Wir warten beim Hüter des Waldes weit im Westen.,Мы будем ждать тебя у стража леса к западу отсюда.,"En batıda, orman muhafızının yanında seni bekliyor olacağız.",Estaremos esperando perto do guardião da floresta ao oeste.,Będziemy czekać przy strażniku lasu na zachodzie.
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.28.Red Dead Mushroom,,Next time you won't find me!,下次你准找不到我!,次は見つからないからな！,下次你准找不到我!,La prochaine fois tu me trouveras pas !,다음에는 날 못 찾을걸!,Hurrengoan ez da hain erraza izango!,La prossima volta non mi troverai!,¡La próxima vez no será tan fácil!,Nächstes Mal wirst du mich nicht finden!,Вот в следующий раз ты меня не найдёшь!,Bir dahakine beni bulamayacaksın!,Na próxima vez você não vai me encontrar!,Następnym razem mnie nie znajdziesz!
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.27.Red Dead Mushroom,,You still have {$mushroomsLeft} to find.,你还需要找到{$mushroomsLeft}个蘑菇,残りのキノコはあと{$mushroomsLeft}体。,你還需要找到{$mushroomsLeft}個蘑菇,Il faut encore que tu trouves {$mushroomsLeft} champignons.,앞으로 버섯 {$mushroomsLeft}개를 더 찾아야 해.,Oraindik falta zaizkizun onddoak: {$mushroomsLeft},Rimangono {$mushroomsLeft} funghi da trovare.,Te quedan {$mushroomsLeft} setas por encontrar.,Du musst noch {$mushroomsLeft} finden.,Тебе осталось найти {$mushroomsLeft}.,Bulman gereken {$mushroomsLeft} mantar kaldı.,Você ainda tem {$mushroomsLeft} para encontrar.,Nadal masz {$mushroomsLeft} do znalezienia.
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.62.Red Dead Mushroom,,I would advise looking in places where you didn't find other mushrooms.,我建议你去还没找到蘑菇的地方找找.,まだキノコが見つかってない場所を探すことをおすすめするよ。,我建議你去還沒找到蘑菇的地方找找.,Je te conseille de chercher aux endroits où tu n'as trouvé aucun autre champignon.,다른 버섯을 찾지 못한 장소를 뒤져보는 게 좋을 거야.,Onddorik aurkitu ez duzun tokietan begiratzea gomendatzen dizut.,Ti consiglio di cercare nei posti dove non hai trovato altri funghi.,Te recomiendo mirar en sitios donde no has encontrado más setas.,"Ich würde dir empfehlen, an Orten zu suchen, an denen kein anderer war.","Я бы посоветовал искать там, где ты ещё не нашёл другие грибы.",Mantarlara rastlamadığın diğer yerlere bakmanı öneririm.,Eu recomendaria procurar em lugares que você não achou outros cogumelos.,"Proponowałbym szukać w miejscach, w których jeszcze nie znalazłeś innych grzybów."
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.57.Red Dead Mushroom,,"Wow, you found us all!","哇,你找到了我们所有人!",おお、全員見つけたな！,"哇,你找到了我們所有人!","Ouah, t'as réussi à nous trouver !","우와, 전부 찾아냈구나!","Hara, guztiok aurkitu gaituzu!","Wow, ci hai trovati tutti!",¡Guau! ¡Nos has encontrado a todos!,"Wow, du hast uns alle gefunden!","Вау, ты нашёл нас всех!","Vay, hepimizi buldun!","Uau, você achou todos nós!","Łał, znalazłeś nas wszystkich!"
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.108.Red Dead Mushroom,,Are you struggling?,你在挣扎吗?,苦しんでいるのかい？,你在掙扎嗎?,Tu n'y arrives pas ?,힘들어?,Nekatzen hasi al zara?,Sicuro di farcela?,¿Te cuesta?,Hast du Schwierigkeiten?,Тебе тяжко?,Zorlanıyor musun?,Está tendo dificuldade?,Czy ty walczysz?
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.109.Red Dead Mushroom,,Are you sure of your actions?,你确定要这样做吗?,自分の行動に自信はある？,你確定要這樣做嗎?,Tu es sûr de ce que tu fais ?,네가 하는 행동에 대해 확신해?,Ziur al zaude egiten ari zarenarekin?,Sei sicuro delle tue azioni?,¿Estás seguro de lo que haces?,Bist du dir deiner Taten sicher?,Ты уверен в своих действиях?,Hareketlerinden emin misin?,Você tem certeza de suas ações?,Czy jesteś pewien swoich działań?
SAY.MushroomForestScene.RedDeadMushroomMushroomForest FlowChart.110.Red Dead Mushroom,,You can't kill me in a way that matters.,你不能以这样的方式杀死我,君には僕を殺せないよ。意味のある形ではね。,你不能以這樣的方式殺死我,Tu pourras physiquement pas me tuer.,넌 날 죽일 수 없어.,"Ezin nauzu akabatu, zentzurik duen modu batean egia esan.",Non puoi uccidermi per davvero.,"Puedes matarme, pero no servirá de nada.",Du kannst mich nicht auf bedeutungsvolle Weise töten.,Моя смерть ни на что не повлияет.,Beni öylece öldüremezsin.,Você não consegue me matar de uma forma relevante.,"Nie możesz mnie zabić sposobem, który miałby znaczenie."
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.69.Brown Slow Mushroom,,Hey!,嘿!,やあ！,嘿!,Hé !,이봐!,Aizu!,Ehi!,¡Oye!,Hey!,Хей!,Hey!,Ei!,Hej!
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.86.Brown Slow Mushroom,,This is a sacred place.,这是一个神圣的空间,ここは聖なる地だ。,這是一個神聖的空間,C'est un lieu sacré.,여긴 신성한 곳이야.,Leku hau sakratua da.,Questo è un posto sacro.,Este es un lugar sagrado.,Dies ist ein heiliger Ort.,Это священное место.,Burası kutsal mekan.,Este é um local sagrado.,To święte miejsce.
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.72.Brown Slow Mushroom,,You must find all mushrooms to prove yourself worthy.,你必须找到所有蘑菇来证明自己的价值,自らの価値を証明するには、すべてのキノコを見つけねばならない。,你必須找到所有蘑菇來證明自己的價值,Tu dois trouver tous les champignons pour prouver ta valeur.,네 가치를 증명하려면 모든 버섯을 찾아야 해.,Basoko onddo guztiak aurkitu beharko dituzu pena merezi duzula erakusteko.,Dovrai trovare tutti i funghi per dimostrarti degno.,Has de encontrar a todas las setas para demostrar tu valía.,"Du musst alle Pilze finden, um dich als würdig zu erweisen.","Найди все грибы и докажи, что ты достоин.",Liyakatini kanıtlamak için tüm mantarları bulmalısın!,Você deve encontrar todos os cogumelos para se provar digno.,"Musisz znaleźć wszystkie grzyby, aby dowieść swojej wartości."
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.79.Brown Slow Mushroom,,You found us all!,你找到了我们所有人!,全員見つけたな！,你找到了我們所有人!,Tu nous as retrouvés !,전부 찾았구나!,Gu denok aurkitu gaituzu!,Ci hai trovati tutti!,¡Nos has encontrado!,Du hast uns alle gefunden!,Ты нашёл нас всех!,Hepimizi buldun!,Você achou todos nós!,Znalazłeś nas wszystkich!
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.70.Brown Slow Mushroom,,"I don't consider myself so good at hiding as the others,",我认为自己不像其他人那么擅长躲藏,他と比べると隠れるのが下手だと思っているから,我認為自己不像其他人那麼擅長躲藏,"Je ne pense pas être aussi bon pour me cacher que les autres,","남들에 비해서는 스스로가 못 숨는 편이라고 생각하는데,","Nahiko makala naiz ezkutatzen besteekin konparatuz gero,","Non credo di essere bravo a nascondermi quanto gli altri,","No soy tan bueno escondiéndome como el resto,","Ich betrachte mich nicht so gut im Verstecken wie die anderen,","Я не настолько хорош в прятках как остальные,","Saklanma konusunda kendimi diğerleri kadar başarılı bulmuyorum,","Eu não me considero tão bom em esconder quanto os outros,","Nie sądzę, że jestem w stanie chować się tak dobrze jak inni,"
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.80.Brown Slow Mushroom,,so I am a bit surprised I am the last one!,所以我有点惊讶我居然是最后一个被找到的!,私が最後だっていうのは少し驚きだな！,所以我有點驚訝我居然是最後一個被找到的!,je suis un peu surpris que tu tombes sur moi en dernier !,"내가 마지막까지 남았었다니, 놀라워!",horregatik ni azkena izateak harritu egin nau!,quindi sono sorpreso di essere stato trovato per ultimo!,¡así que me sorprende ser el último!,"deshalb bin ich ein bisschen erstaunt, dass ich der Letzte bin!",так что я слегка удивлён что меня нашли последним!,bu yüzden sona kaldığım için biraz şaşkınım!,então estou um pouco surpreso de ter sido o último!,"więc jestem zaskoczony, że jestem ostatni!"
SAY.MushroomForestScene.BrownSlowMushroomMushroomForest  FlowChart.87.Brown Slow Mushroom,,Meet you by the forest guardian far to the west.,在最西边的森林守护者身边与你会面,西にいる森の守護者のところで会おう。,在最西邊的森林守護者身邊與你會面,Rendez-vous chez le gardien de la forêt à l'Ouest !,서쪽에 있는 숲의 수호자가 있는 곳에서 만나자.,Basoko espirituarenean itxarongo zaitut mendebalderantz.,Ci vediamo al guardiano del bosco ad ovest!,Nos vemos donde el guardián al oeste.,Treffen wir uns beim Hüter des Waldes weit im Westen.,Встретимся у стража леса к западу отсюда.,"En batıda, orman muhafızının orada görüşürüz.",Te encontro perto do guardião da floresta ao oeste.,Będziemy czekać przy strażniku lasu na zachodzie.
SAY.MushroomForestScene.SmellyGasMushroomMushroomForest  FlowChart.69.Smelly Gas Mushroom,,Hey there!,嘿,やあ！,嘿,Salut !,어이!,Iepa!,Saluti!,¡Buenas!,Hey da!,Приветик!,Hey sen!,Olá!,No hej!
SAY.MushroomForestScene.SmellyGasMushroomMushroomForest  FlowChart.70.Smelly Gas Mushroom,,Next time I won't let you find me!,下次我不会让你找到我的,次は見つからないからな！,下次我不會讓你找到我的,La prochaine fois je te laisserai pas me trouver !,다음 번에는 날 찾지 못할 거야!,Hurrengoan ez nauzu hain erraz aurkituko!,La prossima volta non mi lascerò trovare!,¡La próxima vez no me dejaré encontrar!,Nächstes Mal werde ich mich nicht finden lassen!,В следующий раз я так просто не дамся!,Bir dahakine beni bulamayacaksın!,Próxima vez não vou deixar você me encontrar!,Następnym razem nie dam się znaleźć!
SAY.MushroomForestScene.SmellyGasMushroomMushroomForest  FlowChart.72.Smelly Gas Mushroom,,You still have {$mushroomsLeft} to find.,你还需要找到{$mushroomsLeft}个蘑菇,残りのキノコはあと{$mushroomsLeft}体。,你還需要找到{$mushroomsLeft}個蘑菇,Il t'en reste {$mushroomsLeft} à trouver.,앞으로 버섯 {$mushroomsLeft}개를 더 찾아야 해.,Oraindik falta zaizkizun onddoak: {$mushroomsLeft},Rimangono {$mushroomsLeft} funghi da trovare.,Te quedan {$mushroomsLeft} setas por encontrar.,Du musst noch {$mushroomsLeft} finden.,Тебе осталось найти ещё {$mushroomsLeft}.,Bulman gereken {$mushroomsLeft} mantar kaldı.,Você ainda tem {$mushroomsLeft} para encontrar.,Nadal masz {$mushroomsLeft} do znalezienia.
SAY.MushroomForestScene.SmellyGasMushroomMushroomForest  FlowChart.79.Smelly Gas Mushroom,,You are good. You found all of us!,"你很好,你找到了我们所有人",すごいな、全員見つけたぞ！,"你很好,你找到了我們所有人",Balèze ! Tu nous as tous trouvés !,"대단해, 우리 모두를 찾다니!",Zein trebea! Guztiok aurkitu gaituzu!,"Sei bravo, ci hai trovati tutti!",Eres bueno. ¡Nos has encontrado a todos!,Du bist gut. Du hast uns alle gefunden!,Молодец. Ты нашёл нас всех!,"Sen epey iyisin, hepimizi bulddun!",Você é bom. Encontrou todos nós!,"Dobry jesteś, znalazłeś nas wszystkich!"
SAY.MushroomForestScene.SmellyGasMushroomMushroomForest  FlowChart.80.Smelly Gas Mushroom,,We will be waiting by the forest guardian far to the west.,我们将在西边的森林守护者那里等你,西にいる森の守護者のところで待ってるぜ。,我們將在西邊的森林守護者那裏等你,On t'attend avec le gardien de la forêt à l'Ouest.,서쪽에 있는 숲의 수호자가 있는 곳에서 기다릴게.,Basoko espirituarekin batera itxarongo zaitut mendebalderantz.,Ti aspetteremo vicino al guardiano del bosco a ovest.,Te estaremos esperando al lado del guardián al oeste.,Wir warten beim Hüter des Waldes weit im Westen.,Мы будем ждать у стража леса к западу отсюда.,"En batıda, orman muhafızının orada seni bekliyor olacağız.",Estaremos esperando perto do guardião da floresta ao oeste.,Będziemy czekać przy strażniku lasu na zachodzie.
SAY.MushroomForestScene.BlueCurlyMushroomMushroomForest FlowChart.84.Blue Curly Mushroom,,Wooahhh!,哇!,うおおお！,哇!,Ouuahhh !,우와아아아!,Uala!,Uhhaahhh!,¡Buaaaah!,Wooahhh!,Уоооо!,Vaay canınaaa!,Uooouuu!,Łoooooo!
SAY.MushroomForestScene.BlueCurlyMushroomMushroomForest FlowChart.101.Blue Curly Mushroom,,So long for now!,暂时到此为止吧!,それじゃまたな！,暫時到此為止吧!,Ça commençait à être long !,그럼 또 만나자!,Hurrengoan ikusiko!,Alla prossima!,¡Ya nos veremos!,Bis später dann!,Я не прощаюсь!,Şimdilik hoşça kal!,Até logo!,Do następnego razu!
